,car_model,year_of_manufacture,price,fuel
0,ritz,2012,4626.87,Diesel
1,ritz,2011,3507.46,Petrol
2,swift,2014,7388.06,Diesel
3,ertiga,2014,8955.22,Diesel
4,dzire,2014,8208.96,Diesel
5,sx4,2011,4402.99,CNG
6,dzire,2015,6940.3,Petrol
7,800,2003,522.39,Petrol
8,alto k10,2016,4477.61,Petrol
9,sx4,2003,3358.21,Petrol
10,baleno,2016,8731.34,Petrol
11,alto k10,2014,3805.97,Petrol
12,sx4,2008,2910.45,Petrol
13,dzire,2014,8208.96,Diesel
14,omni,2012,1865.67,Petrol
15,ciaz,2014,11194.03,Petrol
16,ritz,2013,3955.22,Petrol
17,wagon r,2006,1567.16,Petrol
18,ertiga,2015,8656.72,Petrol
19,ciaz,2017,11567.16,Petrol
20,fortuner,2012,22238.81,Diesel
21,fortuner,2015,34328.36,Diesel
22,innova,2017,26865.67,Diesel
23,fortuner,2013,23880.6,Diesel
24,innova,2005,4104.48,Petrol
25,corolla altis,2009,5373.13,Petrol
26,etios cross,2015,6716.42,Petrol
27,corolla altis,2010,7089.55,Petrol
28,etios g,2014,6119.4,Petrol
29,fortuner,2014,29835.82,Diesel
